symptoms,label,disease
for 2 days red streaks around tail only one fish affected small blood marks on scales water temperature changed fins are clamped,0,Bacterial Red disease
bright body color my fish has getting worse?,4,Healthy Fish
problem is white spots body color looks dull abnormal swimming water is slightly dirty taill rot white area getting worse,5,Parasitic diseases
less active than usual fish was moved to new tank is it serious red ulcers on body problem is,0,Bacterial Red disease
in my aquarium mucus on gills gasping at water surface oxygen level may be low only one fish affected...,2,Bacterial gill disease
red wounds with swelling getting worse in my aquarium does not react much slow swimming,1,Bacterial diseases - Aeromoniasis
healthy fins not sure what happened,4,Healthy Fish
Slow swimming taill end looks dead fungus on body it happens mostly at night today i saw water smells bad,6,Viral diseases White tail disease
tail end looks dead one fish has breathing faster than normal wite discoloration on tail what disease is this,6,Viral diseases White tail disease
Normal breathing what disease is this,4,Healthy Fish
for 2 days scratching against rocks visible lice on fish fish was moved to new tank not sure what happened...,5,Parasitic diseases
Problem is fish keeps scratching clamped fins color looks dull only one fish affected,5,Parasitic diseases
weak swimming with white tail staying at bottom today i saw white discoloration on tail,6,Viral diseases White tail disease
tail rot like white area milky white tail breathing faster than normal breathing faster than normal getting worse...,6,Viral diseases White tail disease
RAPID GILL MOVEMENT COLOR LOOKS DULL...,2,Bacterial gill disease
active and eating well,4,Healthy Fish
pH may be unstable does not react much,2,Bacterial gill disease
Fish showing whit hairy patch mold like growth on tail fish looks tired tank has algae please help,3,Fungal diseases Saprolegniasis
One fish has red streaks around teil fins are clamped tail fin becoming pale please help,0,Bacterial Red disease
for 2 days weak swimming with wite tail abnormal swimming pH may be unstable rubbing body on tank wall please help,6,Viral diseases White tail disease
getting worse tank has algae white spots on body fins are clamped today i saw,5,Parasitic diseases
water temperature changed less active than usual,2,Bacterial gill disease
fish showing brown gill color pale gills after water change fish looks bloated and weak it happens mostly at night,2,Bacterial gill disease
problem red patches on body red patches on body loss of appetite sometimes floating near surface please help,0,Bacterial Red disease
since yesterday mold like growth on tail breathing faster than normal,3,Fungal diseases Saprolegniasis
clear eyes no red spots not sure what happened,4,Healthy Fish
Normal appetite,4,Healthy Fish
grey white fungus feed was changed recently today i saw is it serious white mold on fins sometimes floating near surface,3,Fungal diseases Saprolegniasis
for 2 days healthy fins no swelling getting worse,4,Healthy Fish
i noticed swolen gills fish opens mouth repeatedly fins are clamped color looks dull water temperature changed tiny salt like dots not sure what happened,2,Bacterial gill disease
whit discoloration on tail slow swimming,6,Viral diseases White tail disease
MY FISH HAS WHITE SPOTS ON BODY COLOR LOOKS DULL WATER TEMPERATURE CHANGED GILS LOOK DAMAGED PLEASE HELP,5,Parasitic diseases
red wounds with swelling slow swimming red ulcers on body getting worse...,1,Bacterial diseases - Aeromoniasis
Fish showing not eating properly please help pale gills fins clamped?,2,Bacterial gill disease
for 2 days fuzzy white patches mold like growth on tail staying at bottom what diesase is this,3,Fungal diseases Saprolegniasis
FISH LOOKS TIRED FLUID FILLED BELLY,1,Bacterial diseases - Aeromoniasis
tiny salt like dots in my aquarium visible lice on fish please help does not react much...?,5,Parasitic diseases
for 2 days fluid filled belly fish looks bloated and weak not eating properly staying at bottom pH may be unstable?,1,Bacterial diseases - Aeromoniasis
one fish has white discoloration on tail tail turning white breathing faster than normal after water change white spots on body what disease is this,6,Viral diseases White tail disease
clamped fins abnormal swimming fish looks tired please help i noticed flashing behavior,5,Parasitic diseases
is it serious normal appetite in my aquarium,4,Healthy Fish
Tail turning white fish looks tired fuzzy white patches what disease is this,6,Viral diseases White tail disease
fish showing dropsy like swelling fins are clamped started recently...,1,Bacterial diseases - Aeromoniasis
scratching against rocks problem is slow swimming started recently...,5,Parasitic diseases
after water change in my aquarium less active than usual getting worse weak movement pale gills,2,Bacterial gill disease
FISH SHOWING BLODY RED SPOTS WHAT DISEASE IS THIS RED WOUNDS WITH SWELLING RED PATCHES ON BODY,0,Bacterial Red disease
one fish has tiny salt like dots tiny salt like dots breathing faster than normal fluffy fungus near wound is it serious,5,Parasitic diseases
fish showing taill rot like wite area white tail tip water is cloudy getting worse,6,Viral diseases White tail disease
fish looks healthy?,4,Healthy Fish
normal breathing,4,Healthy Fish
problem is bleeding marks skin skin looks reddish and damaged breathin faster than normal water is cloudy swollen gills please help...,0,Bacterial Red disease
one fish has mucus on gills staying at bottom fins are clamped please help,2,Bacterial gill disease
only one fish affected loss of appetite red wounds with swelling red wounds with swelling in my aquarium,1,Bacterial diseases - Aeromoniasis
brown gill color brown gill color fish looks tired breathing faster than normal getting worse,2,Bacterial gill disease
what disease is this my fish visible lice on fish slow swimming,5,Parasitic diseases
fish showing deep skin ulcers water temperature changed please help loss of appetite,1,Bacterial diseases - Aeromoniasis
I noticed fish keeps scratching skin irritation abnormal swimming other fish look normal,5,Parasitic diseases
hiding in corner bleeding marks on skin,0,Bacterial Red disease
pH may be unstable staying at bottom weak swimming with white tail what disease is this my fish has,6,Viral diseases White tail disease
since yesterday red sores near fins staying at bottom it happens mostly at night,0,Bacterial Red disease
STAYING AT BOTTOM RED WOUNDS WITH SWELLING?,1,Bacterial diseases - Aeromoniasis
I NOTICED FISH LOOKS BLOATED AND WEAK SCALES STICKING OUT LOSS OF APPETITE TANK WAS CLEANED YESTERDAY OTHER FISH LOOK NORMAL,1,Bacterial diseases - Aeromoniasis
FISH LOOKS HELTHY...,4,Healthy Fish
other fish look normal skin looks reddish and damaged one fish has small blood marks on scales fins are clamped,0,Bacterial Red disease
color looks dull water temperature changed,1,Bacterial diseases - Aeromoniasis
SOMETIMES FLOATING NEAR SURFACE FISH LOOKS TIRED PROBLEM IS WHITE DISCOLORATION TAIL GETTING WORSE TAIL END LOOKS DEAD,6,Viral diseases White tail disease
i noticed rapid gill movement does not react much started recently,2,Bacterial gill disease
one fish has getting worse less active than usual fluid filled belly popeye water smells bad,1,Bacterial diseases - Aeromoniasis
for 2 days white cotton like growth fins are clamped breathing difficulty started recently?,3,Fungal diseases Saprolegniasis
I NOTICED WHITE DISCOLORATION ON TEIL TEIL TISSUE DAMAGED ABNORMAL SWIMMING TANK WAS CLEANED YESTERDAY FLUID FILLED BELLY PLEASE HELP,6,Viral diseases White tail disease
body ulcerss loss of appetite,1,Bacterial diseases - Aeromoniasis
it happens mostly at night clear eyes feed was changed recently eats a little slow but normal in my aquarium,4,Healthy Fish
Fish showing tail end looks dead fins are clamped hiding in corner red patches on body getting worse...,6,Viral diseases White tail disease
water is cloudy breathing faster than normal small blood marks on scales what disease this sometimes floating near surface bloody red spots my fish has,0,Bacterial Red disease
problem is white spots on body hiding in corner abnormal swimming grey white fungus getting worse,5,Parasitic diseases
slow swimming water temperature changed,1,Bacterial diseases - Aeromoniasis
wite discoloration on tail abnormal swimming...,6,Viral diseases White tail disease
only one fish affected in my aquarium grey white fungus staying at bottom,3,Fungal diseases Saprolegniasis
problem fish looks bloated and weak fish looks stressed only one fish affected?,1,Bacterial diseases - Aeromoniasis
fish looks tired filter was off for few hours,6,Viral diseases White tail disease
today i saw white mold on fins fluffy fungus wound weak movement fins clamped is it serious,3,Fungal diseases Saprolegniasis
in my aquarium dropsy like swelling red wounds with swelling fish looks tired water is slightly dirty fish opens mouth repeatedly it happens mostly at night,1,Bacterial diseases - Aeromoniasis
my fish has red patches on body staying at bottom not eating properly not sure what happened,0,Bacterial Red disease
